track_id,artists,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_year,release_decade,market_region,playlist_category,artist_tier,streaming_platform,release_year_raw,release_year_clean,clean_decade
2jHEySxCzzODFWmPzt084L,Masaharu Fukuyama,31.0,326600.0,False,0.609,0.76,0,-5.16,1,0.0283,0.131,0.0,0.41,0.44,117.135,4,acoustic,2007,2000s,Asia Pacific,Workout,Rising,Spotify,2007,2007.0,2000s
0R3LjmIZg8MiBlf3LdYjcD,Gail Blanco,27.0,294853.0,False,0.664,0.45,1,-7.007,1,0.0257,0.781,1.71e-05,0.311,0.26,83.987,4,acoustic,2022,2020s,Asia Pacific,Top Charts,Emerging,YouTube Music,2022,2022.0,2020s
1T7Tqsfkz0Ntbwta2hHebY,Days N Daze,28.0,175046.0,False,0.583,0.534,2,-11.147,0,0.0411,0.569,0.0,0.351,0.943,123.094,4,acoustic,2016,2010s,Latin America,Sleep & Relax,Emerging,Spotify,2016,2016.0,2010s
7MlPySldFcJ9R3mSFvGV4y,Masaharu Fukuyama,29.0,272320.0,False,0.459,0.57,4,-5.672,1,0.0293,0.199,0.0,0.137,0.361,72.978,4,acoustic,2013,2010s,,Sleep & Relax,Emerging,Spotify,2013,2013.0,2010s
1wflx5YklLYToaIbXkrZSq,Kina Grannis,57.0,153105.0,False,0.612,0.107,0,-15.867,1,0.0302,0.936,0.0,0.109,0.637,78.393,4,acoustic,1997,1990s,Asia Pacific,Mood,Established,Apple Music,1997,1997.0,1990s
68HbD7rEFTlnJy4UWSpySY,Mone Kamishiraishi,28.0,217466.0,False,0.578,0.636,2,-5.506,1,0.0342,0.0874,0.0,0.124,0.556,124.9,4,acoustic,1997,1990s,North America,Party,Emerging,Spotify,1997,1997.0,1990s
1CtfA9JkJ5cJQgpO7wEj4V,Beyond The Guitar,30.0,163813.0,False,0.57,0.454,2,-7.613,0,0.0987,0.881,0.889,0.0983,0.381,101.476,4,acoustic,1981,1980s,Europe,Sleep & Relax,Rising,Spotify,1981,1981.0,1980s
27hFQQS3cVUmIK3ser5bpu,Colin & Caroline,34.0,266078.0,False,0.62,0.468,4,-9.648,1,0.0268,0.715,3.93e-05,0.106,0.217,110.969,4,acoustic,2019,2010s,North America,Focus,Rising,Spotify,2019,2019.0,2010s
5hVKGw1OXBCEZgRWFUilk7,Sara Farell;Simon Samaeng,44.0,252567.0,False,0.375,0.298,1,-11.928,1,0.0395,0.822,0.0,0.137,0.425,174.03,4,acoustic,2013,2010s,Asia Pacific,Top Charts,Rising,YouTube Music,2013,2013.0,2010s
2PIlBukQ6limukVR8Ubb5o,Gabrielle Aplin,59.0,181400.0,False,0.479,0.541,0,-9.862,1,0.0545,0.737,0.0,0.108,0.321,85.994,4,acoustic,2016,2010s,North America,Focus,Established,Spotify,2016,2016.0,2010s
1t3koreZmmgvTYvxATwqfz,Andrew Ripp,39.0,219653.0,False,0.809,0.555,0,-5.689,1,0.0617,0.481,1.46e-06,0.133,0.473,104.085,4,acoustic,1967,1960s,North America,Workout,Rising,YouTube Music,1967,1967.0,1960s
